payment_id,order_id,metode_pembayaran,status_pembayaran,jumlah_bayar,biaya_admin,tanggal_bayar
PAY-5048,ORD-10126,Credit Card,Paid,38000.0,0.0,2024-06-13 09:47:00
PAY-5049,ORD-10019,Credit_Card,Refunded,34000.0,0.0,2024-06-20 00:00:00
PAY-5050,ORD-10033,Credit Card,Pending,149000.0,0.0,2024-06-28 00:00:00
PAY-5051,ORD-10106,Cod,Paid,126000.0,0.0,2024-07-26 00:00:00
PAY-5052,ORD-10084,Credit Card,Pending,34000.0,0.0,2024-06-29 00:00:00
PAY-5053,ORD-10065,E-Wallet,Paid,149000.0,2500.0,2024-02-06 00:00:00
PAY-5054,ORD-10040,E-Wallet,Refunded,65000.0,5000.0,2024-07-16 00:00:00
PAY-5055,ORD-10076,Credit Card,Refunded,34000.0,0.0,2024-03-06 00:00:00
PAY-5056,ORD-10025,Virtual Account,Paid,38000.0,5000.0,2024-07-03 06:02:00
PAY-5057,ORD-10049,Virtual Account,Pending,126000.0,0.0,2024-05-25 00:00:00
PAY-5058,ORD-10042,Bank Transfer,Paid,58000.0,0.0,2024-07-17 00:00:00
PAY-5059,ORD-10015,Virtual Account,Paid,65000.0,0.0,2024-07-08 00:00:00
PAY-5060,ORD-10129,E-Wallet,Refunded,45000.0,5000.0,2024-06-14 14:40:00
PAY-9999,ORD-10034,Cod,Paid,65000.0,6500.0,2024-05-11 00:00:00
PAY-9998,ORD-88888,Qris,Paid,38000.0,0.0,2024-06-20 00:00:00
